format, rounding      mean error   RMS error  rel. RMS
E4M3, RNE               6.19e-06      0.0266    0.0266
E4M3, RZ                6.46e-05      0.0511    0.0511
E4M3, RU                3.60e-02      0.0531    0.0531
E4M3, SR                1.30e-05      0.0375    0.0375
E5M2, RNE               1.37e-06      0.0528    0.0528
E5M2, RZ                1.28e-04      0.0983    0.0983
E5M2, RU                7.19e-02      0.1064    0.1064
E5M2, SR                2.72e-05      0.0751    0.0751

       |x|   E4M3 rel. err   E5M2 rel. err
     1e-07          1.0000          1.0000
     1e-06          1.0000          1.0000
     1e-05          1.0000          0.2375
     1e-04          1.0000          0.0483
     1e-03          0.5844          0.0501
     1e-02          0.0429          0.0429
     1e-01          0.0231          0.0509
     1e+00          0.0255          0.0506
     1e+01          0.0202          0.0404
     1e+02          0.0215          0.0504
     1e+03        overflow          0.0521
     1e+04        overflow          0.0377
     1e+05        overflow        overflow
